3,7,N,
3,12,N,
1,9,N,
3,7,N,
3,7,N,
3,12,N, 
1,12,N,
3,9,N,
4,1,N,
1,12,N,
1,9,N,
3,10,N,
4,6,N,
2,1,W,
4,2,N,
3,7,N,
3,12,U,
3,7,N,
3,7,N,
3,7,N,
3,12,W,
4,1,N,
4,1,N,
4,1,N,
4,6,N,
2,2,N,
1,7,W,
3,7,N,
3,12,N,
1,12,F,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,8,N,
3,6,W,
3,8,N,
4,1,N,
4,2,N,
3,7,N,
3,7,N,
3,9,N,
4,4,N,
1,7,N,
3,7,N,
3,12,N,
1,12,N,
1,9,N,
3,7,N,
3,7,N,
3,9,N,
4,1,N,
2,6,N,
2,2,N,
1,12,N,
1,7,W,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,8,N,
4,4,N,
1,8,N,
4,2,N,
3,7,N,
3,8,N,
4,2,N,
3,7,N,
3,10,N,
2,2,N,
1,12,N,
1,12,N,
1,12,N,
1,9,N,
1,7,N,
3,8,N,
4,4,N,
1,12,W,
4,2,N,
3,8,N,
4,1,N,
4,2,N,
1,12,N,
1,9,F,
4,1,N,
4,1,N,
4,1,N,
4,6,W,
3,8,W,
3,7,N,
3,8,N,
4,2,N,
3,7,N,
3,7,N,
1,7,N,
3,7,N,
3,7,N,
3,7,U,
4,2,N,
3,7,N,
3,7,N,
3,8,N,
4,2,N,
3,12,N,
1,9,N,
4,2,N,
4,12,W,
3,8,N,
4,1,N,
4,1,N,
4,1,N,
4,6,N,
2,2,N,
3,7,N,
3,7,N,
3,8,N,
4,1,N,
4,2,N,
3,7,N,
3,10,N,
2,1,N,
4,2,N,
4,4,N,
3,12,N,
1,9,N,
4,1,N,
2,2,N,
3,7,N,
3,10,N,
2,1,N,
4,1,N,
4,4,N,
1,9,N,
4,2,N,
3,7,N,
3,7,N,
3,12,N,
1,7,N,
3,7,N,
3,10,N,
2,6,N,
2,6,U,
4,1,N,
4,2,N,
3,12,N,
1,8,N,
4,2,N,
3,7,N,
3,8,N,
4,2,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,12,N,
3,8,N,
4,2,N,
3,7,N,
3,12,N,
3,8,N,
3,1,N,
4,6,W,
3,7,N,
3,7,N,
3,8,N,
4,6,N,
2,2,N,
3,7,N,
3,7,N,
3,7,N,
3,8,N,
4,1,N,
4,1,N,
4,1,N,
4,2,N,
3,12,N,
1,7,N,
3,7,N,
3,5,N,
2,2,N,
1,8,N,
4,4,N,
1,12,U,
4,1,N,
4,1,N,
4,1,N,
4,6,N,
2,2,N,
3,7,N,
3,7,N,
3,8,N,
4,1,N,
4,6,N,
2,2,N,
3,7,N,
3,8,N,
4,1,N,
4,2,N,
3,8,N,
4,1,N,
4,6,N,
2,3,N,
3,12,N,
1,8,N,
4,1,N,
4,2,N,
3,7,N,
3,7,N,
3,12,N,
1,9,N,
3,7,N,
3,12,N,
2,6,W,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,8,N,
4,6,W,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,12,N,
1,7,N,
3,10,N,
2,2,N,
3,7,N,
3,12,W,
4,2,N,
3,7,N,
3,7,N,
3,7,N,
3,12,N,
1,8,N,
4,2,N,
3,7,N,
3,7,N,
3,8,N,
4,1,N,
4,1,N,
4,6,N,
3,7,N,
3,7,N,
3,12,N,
1,8,N,
3,7,N,
3,8,N,
4,6,N,
2,6,N,
2,6,N,
2,2,N,
3,8,N,
4,2,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,12,N,
4,2,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,7,N,
3,8,N,
4,1,N,
4,1,N,
4,1,N,
4,4,N,
1,8,N,
4,1,N,
2,2,N,
3,7,N,
3,7,N,
3,7,N,
3,12,U,
